ShapePairs,Subject,Distractor,Target,meanRT
5,4,D.Incongruent,T.Incongruent,1.00010888065153
6,4,D.Incongruent,T.Incongruent,0.867608659247344
7,4,D.Incongruent,T.Incongruent,0.773882837031852
8,4,D.Incongruent,T.Incongruent,1.0094507406684
9,4,D.Incongruent,T.Incongruent,1.26218791017309
10,4,D.Incongruent,T.Incongruent,0.950179617882532
11,4,D.Incongruent,T.Incongruent,0.822873740970681
12,4,D.Incongruent,T.Incongruent,1.07842781239597
13,4,D.Incongruent,T.Incongruent,1.15412869675201
14,4,D.Incongruent,T.Incongruent,0.875618857314112
15,4,D.Incongruent,T.Incongruent,0.975848824801506
16,4,D.Incongruent,T.Incongruent,1.01313673773111
17,4,D.Incongruent,T.Incongruent,1.12730373625527
18,4,D.Incongruent,T.Incongruent,0.995971496608399
19,4,D.Incongruent,T.Incongruent,1.09357819701254
20,4,D.Incongruent,T.Incongruent,0.922593673139636
21,4,D.Incongruent,T.Incongruent,1.11644663763291
1,5,D.Incongruent,T.Incongruent,1.23862986766908
2,5,D.Incongruent,T.Incongruent,1.2281433752607
3,5,D.Incongruent,T.Incongruent,0.964754816195637
4,5,D.Incongruent,T.Incongruent,0.986513395566726
5,5,D.Incongruent,T.Incongruent,1.12482340983988
6,5,D.Incongruent,T.Incongruent,1.25039792900643
7,5,D.Incongruent,T.Incongruent,0.748693182950956
8,5,D.Incongruent,T.Incongruent,0.878598742990289
9,5,D.Incongruent,T.Incongruent,1.49033256835392
10,5,D.Incongruent,T.Incongruent,1.0431806345543
11,5,D.Incongruent,T.Incongruent,0.994873914848722
12,5,D.Incongruent,T.Incongruent,1.04826911144628
13,5,D.Incongruent,T.Incongruent,1.19488536594727
14,5,D.Incongruent,T.Incongruent,0.817677540777368
15,5,D.Incongruent,T.Incongruent,1.06928405181825
16,5,D.Incongruent,T.Incongruent,1.20820069520414
17,5,D.Incongruent,T.Incongruent,1.24275668035116
18,5,D.Incongruent,T.Incongruent,1.22120656275365
19,5,D.Incongruent,T.Incongruent,1.11278067631793
20,5,D.Incongruent,T.Incongruent,1.44891437517799
21,5,D.Incongruent,T.Incongruent,1.22788394430972
1,6,D.Incongruent,T.Incongruent,0.889170598055352
2,6,D.Incongruent,T.Incongruent,0.804705063340953
3,6,D.Incongruent,T.Incongruent,0.596668290253729
4,6,D.Incongruent,T.Incongruent,0.782961336677545
5,6,D.Incongruent,T.Incongruent,0.746345416535041
6,6,D.Incongruent,T.Incongruent,0.927770423117909
