ShapePairs,Subject,Distractor,Target,meanRT
7,2,D.Incongruent,T.Incongruent,0.905053243908333
8,2,D.Incongruent,T.Incongruent,1.06566850607342
9,2,D.Incongruent,T.Incongruent,1.22466278668435
10,2,D.Incongruent,T.Incongruent,1.21344841702667
11,2,D.Incongruent,T.Incongruent,1.09079939450312
12,2,D.Incongruent,T.Incongruent,1.19698967583827
13,2,D.Incongruent,T.Incongruent,1.36761814561614
14,2,D.Incongruent,T.Incongruent,1.11828751384455
15,2,D.Incongruent,T.Incongruent,1.0107953125902
16,2,D.Incongruent,T.Incongruent,1.14561247345118
17,2,D.Incongruent,T.Incongruent,1.23355306179146
18,2,D.Incongruent,T.Incongruent,1.2315132430871
19,2,D.Incongruent,T.Incongruent,1.27181830539193
20,2,D.Incongruent,T.Incongruent,1.2375329823728
21,2,D.Incongruent,T.Incongruent,1.22323260284029
1,3,D.Incongruent,T.Incongruent,1.39347560638853
2,3,D.Incongruent,T.Incongruent,1.45776768716169
3,3,D.Incongruent,T.Incongruent,1.0137148784328
4,3,D.Incongruent,T.Incongruent,1.15530844483583
5,3,D.Incongruent,T.Incongruent,1.44728612122708
6,3,D.Incongruent,T.Incongruent,1.61190678667044
7,3,D.Incongruent,T.Incongruent,1.12397042833327
8,3,D.Incongruent,T.Incongruent,1.11859236058372
9,3,D.Incongruent,T.Incongruent,1.53483706463885
10,3,D.Incongruent,T.Incongruent,1.35551553214027
11,3,D.Incongruent,T.Incongruent,1.2612820571725
12,3,D.Incongruent,T.Incongruent,1.38735208888538
13,3,D.Incongruent,T.Incongruent,1.80321118007123
14,3,D.Incongruent,T.Incongruent,1.2666934665147
15,3,D.Incongruent,T.Incongruent,1.24310134198458
16,3,D.Incongruent,T.Incongruent,1.35272890008928
17,3,D.Incongruent,T.Incongruent,1.49537034375826
18,3,D.Incongruent,T.Incongruent,1.35450733046164
19,3,D.Incongruent,T.Incongruent,1.33971681207477
20,3,D.Incongruent,T.Incongruent,1.46754136760137
21,3,D.Incongruent,T.Incongruent,1.26772323612822
1,4,D.Incongruent,T.Incongruent,0.937249153702578
2,4,D.Incongruent,T.Incongruent,1.12598491828248
3,4,D.Incongruent,T.Incongruent,0.761750701435085
4,4,D.Incongruent,T.Incongruent,0.918370010047511
5,4,D.Incongruent,T.Incongruent,1.00010888065153
6,4,D.Incongruent,T.Incongruent,0.867608659247344
7,4,D.Incongruent,T.Incongruent,0.773882837031852
8,4,D.Incongruent,T.Incongruent,1.0094507406684
9,4,D.Incongruent,T.Incongruent,1.26218791017309
10,4,D.Incongruent,T.Incongruent,0.950179617882532
11,4,D.Incongruent,T.Incongruent,0.822873740970681
12,4,D.Incongruent,T.Incongruent,1.07842781239597
13,4,D.Incongruent,T.Incongruent,1.15412869675201
14,4,D.Incongruent,T.Incongruent,0.875618857314112
15,4,D.Incongruent,T.Incongruent,0.975848824801506
16,4,D.Incongruent,T.Incongruent,1.01313673773111
17,4,D.Incongruent,T.Incongruent,1.12730373625527
18,4,D.Incongruent,T.Incongruent,0.995971496608399
19,4,D.Incongruent,T.Incongruent,1.09357819701254
20,4,D.Incongruent,T.Incongruent,0.922593673139636
21,4,D.Incongruent,T.Incongruent,1.11644663763291
1,5,D.Incongruent,T.Incongruent,1.23862986766908
2,5,D.Incongruent,T.Incongruent,1.2281433752607
3,5,D.Incongruent,T.Incongruent,0.964754816195637
4,5,D.Incongruent,T.Incongruent,0.986513395566726
5,5,D.Incongruent,T.Incongruent,1.12482340983988
6,5,D.Incongruent,T.Incongruent,1.25039792900643
7,5,D.Incongruent,T.Incongruent,0.748693182950956
8,5,D.Incongruent,T.Incongruent,0.878598742990289
9,5,D.Incongruent,T.Incongruent,1.49033256835392
10,5,D.Incongruent,T.Incongruent,1.0431806345543
11,5,D.Incongruent,T.Incongruent,0.994873914848722
12,5,D.Incongruent,T.Incongruent,1.04826911144628
13,5,D.Incongruent,T.Incongruent,1.19488536594727
14,5,D.Incongruent,T.Incongruent,0.817677540777368
15,5,D.Incongruent,T.Incongruent,1.06928405181825
16,5,D.Incongruent,T.Incongruent,1.20820069520414
